抽選日,1列目,2列目,3列目,4列目,5列目,6列目,7列目
2023/01/06,1,3,4,5,6,29,31
2023/01/13,9,10,12,15,16,28,36
2023/01/20,8,14,19,22,29,31,37
2023/01/27,4,19,25,26,30,32,36
2023/02/03,1,5,6,9,16,26,31
2023/02/10,10,14,22,26,27,32,33
2023/02/17,3,5,9,11,17,33,37
2023/02/24,1,9,14,24,28,36,37
2023/03/03,5,7,17,22,25,26,28
2023/03/10,1,4,10,13,15,19,37
2023/03/17,1,5,10,17,20,27,37
2023/03/24,3,15,17,22,26,27,28
2023/03/31,7,12,15,16,18,25,36
2023/04/07,3,6,10,16,26,29,31
2023/04/14,5,8,11,24,30,32,36
2023/04/21,1,2,8,14,17,21,34
2023/04/28,9,22,25,28,33,34,37
2023/05/05,21,24,25,27,30,33,36
2023/05/12,1,10,12,19,22,25,37
2023/05/19,3,17,19,27,28,32,35
2023/05/26,4,17,22,27,29,31,34
2023/06/02,11,14,17,18,21,25,31
2023/06/09,4,13,17,19,20,26,29
2023/06/16,4,8,12,25,27,32,34
2023/06/23,5,7,10,19,30,32,33
2023/06/30,7,9,13,14,22,26,29
2023/07/07,1,11,13,28,29,30,34
2023/07/14,4,6,9,11,14,28,30
2023/07/21,4,9,13,18,26,28,36
2023/07/28,2,4,9,11,14,25,37
2023/08/04,10,17,18,19,20,24,25
2023/08/11,5,11,12,19,29,32,36
2023/08/18,8,12,16,17,22,28,34
2023/08/25,2,3,9,13,14,35,37
2023/09/01,1,2,11,12,16,25,28
2023/09/08,4,6,8,18,20,27,35
2023/09/15,3,7,10,18,19,28,36
2023/09/22,6,14,23,25,27,28,34
2023/09/29,2,9,26,31,33,35,36
2023/10/06,2,11,13,18,23,24,36
2023/10/13,10,11,18,21,22,29,34
2023/10/20,3,12,16,17,27,30,34
2023/10/27,7,14,17,28,33,35,36
2023/11/03,4,11,14,18,23,25,29
2023/11/10,1,13,16,17,18,25,30
2023/11/17,13,19,20,28,33,34,35
2023/11/24,7,8,13,22,24,29,30
2023/12/01,15,16,17,22,29,32,37
